# Requirement ID	Implementing tasks	Executable gates
CAM-1	T-CAM-1.1	gate:campaign-model
CAM-2	T-CAM-2.2	gate:typed-choice
CAM-3	T-CAM-1.1,T-CAM-3.4	gate:campaign-model,gate:campaign-statistics
CAM-4	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:branch-point-model
CAM-5	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:branch-point-model
CAM-6	T-CAM-5.9,T-CAM-8.1	gate:campaign-operational-continuity,gate:campaign-store-composition
CAM-7	T-CAM-7.3	gate:hot-fork-equivalence,gate:host-clone-cost
CAM-8	T-CAM-5.3,T-CAM-5.9	gate:exact-closure-streaming,gate:campaign-operational-continuity
CAM-9	T-CAM-4.5	gate:lazy-frontier,gate:control-responsiveness
CAM-10	T-CAM-8.1,T-CAM-8.2	gate:campaign-model,gate:campaign-component-contract
CAM-11	T-CAM-9.5	gate:license-boundary,gate:abi-conformance
CAM-12	T-CAM-4.9	gate:campaign-component-contract
CAM-13	T-CAM-6.9,T-CAM-9.1,T-CAM-9.7	gate:e2e-determinism,gate:campaign-envoy-network-five-vm,gate:campaign-gate-matrix,gate:campaign-release-acceptance
CAM-14	T-CAM-4.2,T-CAM-8.1	gate:branch-point-model
CMOD-1	T-CAM-1.1,T-CAM-2.2	gate:campaign-model,gate:typed-choice
CMOD-2	T-CAM-1.1,T-CAM-2.2	gate:campaign-model,gate:typed-choice
CMOD-3	T-CAM-1.1,T-CAM-4.3	gate:campaign-model,gate:campaign-statistics
CMOD-4	T-CAM-1.1,T-CAM-4.3	gate:campaign-model,gate:campaign-statistics
CMOD-5	T-CAM-3.4	gate:campaign-statistics
CMOD-6	T-CAM-1.1,T-CAM-7.5	gate:campaign-model,gate:hot-fork-equivalence
CMOD-7	T-CAM-8.2	gate:campaign-statistics
CMOD-8	T-CAM-8.2	gate:campaign-statistics
CMOD-9	T-CAM-1.1,T-CAM-4.9	gate:campaign-model,gate:campaign-component-contract
CMOD-10	T-CAM-1.1,T-CAM-1.6	gate:campaign-model,gate:content-address
CMOD-11	T-CAM-1.1,T-CAM-1.6	gate:campaign-model,gate:content-address
CMOD-12	T-CAM-1.2,T-CAM-1.4	gate:campaign-model,gate:content-address
CMOD-13	T-CAM-1.2,T-CAM-1.4	gate:campaign-model,gate:content-address
CMOD-14	T-CAM-1.2,T-CAM-1.4	gate:campaign-model,gate:content-address
